TUCASEID	WEIGHT
20160101160045	5244.0
20160101161451	4289.0
20160101162494	5602.0
20160110152460	38876.0
20160111150662	4579.0
20160111150822	5312.0
20160111151369	8532.0
20160111151865	3620.0
20160112150142	8532.0
20160112150564	4317.0
20160112150779	3620.0
20160112150914	6336.0
20160112151015	6336.0
20160112151527	3620.0
20160112151530	5348.0
20160112151580	6293.0
20160112152209	4259.0
20160112152326	5964.0
20160201160036	5632.0
20160201160096	23668.0
20160201160110	6084.0
20160201160521	8532.0
20160201160689	8532.0
20160201160840	4579.0
20160201161026	19172.0
20160201161398	4317.0
20160201161503	4289.0
20160201161951	4579.0
20160201162485	5244.0
20160202160115	3620.0
20160202160559	4259.0
20160202160867	19172.0
20160202160995	4263.0
20160202161863	2765.0
20160202162281	4317.0
20160202162356	6336.0
20160212150737	4289.0
20160212151723	6084.0
20160212152205	4259.0
20160301161183	4317.0
20160302160620	3018.0
20160302160647	4317.0
20160302160722	8629.0
20160302160830	23668.0
20160302160869	6084.0
20160302160881	5312.0
20160302161367	6084.0
20160302161400	4317.0
20160302161451	6336.0
20160302161460	3018.0
20160302161526	4289.0
20160302161542	3018.0
20160302161797	6336.0
20160302161895	5602.0
20160302162059	5602.0
20160302162171	4579.0
20160303161079	8532.0
20160303162493	3620.0
20160312151438	19172.0
20160402160144	16854.0
20160402160974	4289.0
20160402161002	6336.0
20160402161253	5312.0
20160402161479	6420.0
20160402161525	8532.0
20160403160565	3620.0
20160403160715	6336.0
20160403160793	31034.0
20160403161004	8532.0
20160403161179	4928.0
20160403161320	6336.0
20160403161588	6084.0
20160403161667	8629.0
20160403161772	6084.0
20160403161815	5348.0
20160403161999	6084.0
20160403162194	2765.0
20160404160009	4317.0
20160404160120	7050.0
20160404161512	6084.0
20160404162044	8629.0
20160503160933	5348.0
20160503161576	6996.0
20160503162454	4259.0
20160503162497	5602.0
20160504160138	2452.0
20160504160767	5602.0
20160504160773	4317.0
20160504160958	6084.0
20160504161144	8629.0
20160504161612	5602.0
20160504161653	4263.0
20160504161721	5348.0
20160504161724	4702.0
20160504162005	8629.0
20160504162030	4579.0
20160505161685	5348.0
20160604161087	5632.0
20160604162438	5312.0
20160604162502	8532.0
20160605160010	4289.0
20160605160111	6084.0
20160605161028	5348.0
20160605161057	4289.0
20160605161514	8532.0
20160605161860	4317.0
20160605161928	8629.0
20160605161968	5348.0
20160605162064	5534.0
20160605162351	6084.0
20160605162391	8629.0
20160606162253	5964.0
20160705160853	5964.0
20160705161576	8629.0
20160706160055	3620.0
20160706160616	4317.0
